"LEE, Kyung-Kun","Korea, South"
"BEURAIN, DÍŠsirÍŠ",Belgium
"VUJEVIC, Goran",Yugoslavia
"BEAMON, Bob",United States
"MENDYGALIEV, Nurlan",Soviet Union
"BAILES, Margaret Johnson",United States
"KELLER, Andreas",Germany
"TSUJI, Hiroko",Japan
"SALISBURY, John Edward",United Kingdom
"OKRENT, Detlef",Germany
"KIM, Dong Moon","Korea, South"
"FOIK, Marjan",Poland
"HANSEN, Ejvind Willy",Denmark
"TYSHLER, David",Soviet Union
"VOSS, Nils",Norway
"STAAF, Karl Gustav",Mixed Team
"MICHINAGA, Hiroshi",Japan
"WYLAND-WILLIAMS, Wendy Lian",United States
"VON GAZA, Bernhard",Germany
"WILLIAMS, Venus",United States
"PRIGODA, Guennadi",Soviet Union
"WILKINS, Louis",United States
"FOWLER, Robert Gerald",South Africa
"SERRURIER, Auguste",France
"KRAVCHUK, Valentin",Soviet Union
"VAN DEN HAM, Marieke",Netherlands
"BONK, Gerd",German Democratic Republic
"POKRAJAC, Branislav",Yugoslavia
"TULAGANOV, Karim",Uzbekistan
"DYER, Hector Monroe",United States
"DUSING, Nate",United States
"HINGST, Ariane",Germany
"LIPPINCOTT, Donald",United States
"EMMS, Gail",United Kingdom
"HAWKINS, Martin",United States
"IMOH, Chidi",Nigeria
"LLORENTE GENTO, Jose Luis",Spain
"CAZALET, Clement Haughton Langston",United Kingdom
"NETHERCOTT, Acer",United Kingdom
"JENSSEN, Leif Goran",Norway
"IVAN, Paula",Romania
"KELECOM, R.",Belgium
"HOFMANN, Walter",German Democratic Republic
"JAKOBSSON, Walter",Finland
"THOMPSON, Jean",Canada
"ANDERSON, Miller Altman",United States
"STANULOV, Milorad",Yugoslavia
"CUTOV, Simion",Romania
"De AMEZOLA y ASPIZUA, JosÍŠ",Spain
"ROBINZINE, Kevin Bernard",United States
"KINOSHITA, Yurie Alicia",Japan
"SZARKA, Zoltan",Hungary
"RIGGS, Walter",United Kingdom
"LOYOLA, Nelson",Cuba
"CAPUSTA, Petre",Romania
"METZ, Michael",Germany
"CARRUTHERS, Stuart",Australia
"LE HARDY DE BEAULIEU, Philippe",Belgium
"SCHOKNECHT-SLUPIANEK, Ilona",German Democratic Republic
"WENDEROTH, Georg",Germany
"OGIENKO, Valentina",Unified Team
"LITTLEWORT, Henry Charles",United Kingdom
"POTHEAU, Louis",France
"CARRUTH, Michael",Ireland
"LJUNGBECK, Benni",Sweden
"KARAKALOS, Telemachos",Greece
"CHAKHKIEV, Rakhim",Russia
"DOKTOR, Martin",Czech Republic
"GRANFELT, Hans",Sweden
"GALLARDO, Marcelo",Argentina
"BALIC, Ivano",Croatia
"TVETEN, Alf Christian",Norway
"KONRAD, Ferenc",Hungary
"GALLARDO, Miriam",Peru
"LITUEV, Yuri",Soviet Union
"VORONIN, Lev",Russia
"GUERIN, Henri",France
"CHESSYUNAS, Vladislavas",Soviet Union
"TOXOPEUS, Jacqueline",Netherlands
"CHERNUSHEVICH, Arnold",Soviet Union
"TROELSEN, Tommy Brian",Denmark
"NIKOLOV, Andon",Bulgaria
"HUFSCHMID, Willy",Switzerland
"MORDINI, Domenico",Italy
"HOUKES, Ruben",Netherlands
"LA VINE, Jacqueline Carol",United States
"GLATSKIKH, Olga",Russia
"JOHNSON, Lawrence",United States
"RADONYAK, Yuri",Soviet Union
"SCIOCCHETTI, Marina",Italy
"MULLER, Matthias",German Democratic Republic
"TIKHONENKO, Valeri",Soviet Union
"KISSELEV, Oleg",Unified Team
"DENNIS, Clare",Australia
"LUNDGREN, Anders",Norway
"MURUA LEGUIZAMON, Pedro",Spain
"COUMANS, AndrÍŠ",Belgium
"LEITAO, Antonio",Portugal
"FÍ GLUM-PETTERSSON, Sture",Sweden
"GREGG, Duncan Smith",United States
"NORMANTAS, Ionas",Soviet Union
"STREETER, Smith O.",United States
"SERDYUK, Oleksandr",Ukraine
"CESERANO, Frederico Secondo",Italy
"PAYNE, Nicolle",United States
ALDAIR,Brazil
"BULARCA, Valeriu",Romania
"RUSHER, John Dunbar, Iv",United States
"GUDE, Franziska",Germany
"ARAUJO, Jose",Brazil
"SZILAGYI, Katalin",Hungary
"COCHE, Jean-Paul",France
"LAUVAUX, Henri",France
"AAS, Thomas Valentin",Norway
"OLMSTEAD, Barbara",Canada
"GUZGANU-TUFAN, Elisabeta",Romania
"GREISINGER, Seth",United States
"OLSEN, Ole",Denmark
"BOLT, Usain",Jamaica
"PROBST, Alfred",Switzerland
"OTT, Patricia",West Germany
"HENRIKSEN, Henriette",Norway
"KUIPERS, Ellen",Netherlands
"MOFFITT, John",United States
"HAINLE, Max",Germany
"SZEKELY-MARVALICS, GyÍ_rgyi",Hungary
"EL OUAFI, BoughÍŠra Mohamed",France
"JUUL-PETERSEN, Carl Julius",Denmark
"SHANIDZE, Dito",Soviet Union
"PETROV, Vladimir",Soviet Union
"CIMERMANCIC, Zvonko",Yugoslavia
"GRÍńTZNER, Stefan",German Democratic Republic
"FORSTENSEN, J.",Norway
"BOND, David John Were",United Kingdom
"FRANDSEN, Aage Valdemar Harald",Denmark
"CATARI PERAZA, Omar",Venezuela
"RODRIGUEZ TORRES, Hector",Cuba
"PETRI, Heather",United States
"FORD, Bruce",Canada
"VOSSELER, Hans-GÍ_nther",West Germany
"BUTKIEWICZ, Michal",Poland
"MASHBURN, Jesse William",United States
"ZWEHL, Julia",Germany
"ANDERSEN, Frithjof",Norway
"HOPP, Karl Heinz",United States
"PIERRE, Gabriel",Cuba
"HEMMINGS, Deon Marie",Jamaica
"CRACKNELL, James",United Kingdom
"DELLA FIORI, Fabrizio",Italy
"LOPEZ, Hector",Mexico
"RUDD, Bevil Gordon D'Urban",South Africa
"ARENDT-JACOBS, Gisela",Germany
"BOCCARA, Philippe",France
"REDDICK, Cat",United States
"MARTINEZ, Miguel",France
"NAGATSUKA, Tomohiro",Japan
"STAPLEY, Henry",United Kingdom
"LU, Ying-Chi",Taiwan
"LEE, Daeho","Korea, South"
