"LANE, Frederick C.V.",AUS
"HALMAY, Zoltan",HUN
"KEMP, Peter",GBR
"LANE, Frederick C.V.",AUS
"WAHLE, Otto",AUT
HOUBEN,FRA
"LEUILLIEUX, Jean",FRA
"MARTIN, Louis",FRA
"MERCHEZ, DÇ¸sirÇ¸",FRA
TARTARA,FRA
"FREY, Julius",GER
"HAINLE, Max",GER
"HOPPENBERG, Ernst",GER
"SCHÇ_NE, Max",GER
"VON PETERSDORFF, Herbert",GER
BERTRAND,FRA
CADET,FRA
"HOCHEPIED, Maurice",FRA
"HOCHEPIED, Victor",FRA
VERBECKE,FRA
"MARTIN, Louis",FRA
"JARVIS, John Arthur",GBR
"HALMAY, Zoltan",HUN
"LYKKEBERG, Peder",DEN
"DE VENDEVILLE, Charles",FRA
"SIX, AndrÇ¸",FRA
"BURGESS, Thomas",FRA
COULON,FRA
"DECUYPER, Alphonse",FRA
DEVENOT,FRA
FARDELLE,FRA
FAVIER,FRA
"LAUFRAY, Louis",FRA
LERICHE,FRA
"MARTIN, Louis",FRA
"MERCHEZ, DÇ¸sirÇ¸",FRA
"PESLIER, Henri",FRA
PESLOY,FRA
"TREFFEL, Charles",FRA
"VASSEUR, Paul",FRA
"COE, Thomas",GBR
"DERBYSHIRE, John Henry",GBR
"KEMP, Peter",GBR
"LISTER, William",GBR
"ROBERTSON, Arthur",GBR
"ROBINSON, Eric",GBR
"WILKINSON, George",GBR
"COHEN, Henri",BEL
"DE BACKER, Jean",BEL
"DE BEHR, Victor",BEL
"FEYAERTS, Fernand",BEL
"GREGOIRE, Oscar",BEL
"MICHANT, Albert",BEL
"SONNEMANS, Victor",BEL
"PETIT, Charles FrÇ¸dÇ¸ric",FRA
"VAN INNIS, Hubert",BEL
"THIBAUD, Victor",FRA
"MERCIER, Emile",FRA
"MOUGIN, EugÇùne",FRA
"HELLE, Henri",FRA
"PETIT, Charles FrÇ¸dÇ¸ric",FRA
"VAN INNIS, Hubert",BEL
"THIBAUD, Victor",FRA
"FISSEUX, Emile",FRA
"HEROUIN, Henri",FRA
"VAN INNIS, Hubert",BEL
"FOULON, Emmanuel",BEL
"DRUART, Jr.",BEL
"SERRURIER, Auguste",FRA
"GLINEUX, Louis",BEL
"GRUMIAUX, Emile",FRA
"SERRURIER, Auguste",FRA
"ROWLEY, Stanley",AUS
"JARVIS, Francis",USA
"TEWKSBURY, Walter B. John",USA
"MOLONEY, Frederick",USA
"KRAENZLEIN, Alvin",USA
"MCLEAN, John",USA
"BRAY, John",USA
"BENNETT, Charles",GBR
"DELOGE, Henri",FRA
"ROWLEY, Stanley",AUS
"TEWKSBURY, Walter B. John",USA
"PRITCHARD, Norman",IND
"TEWKSBURY, Walter B. John",USA
"KRAENZLEIN, Alvin",USA
"PRITCHARD, Norman",IND
"CHASTANIE, Jacques",FRA
"ORTON, George",CAN
"ROBINSON, Sidney",GBR
"ROBINSON, Sidney",GBR
"RIMMER, John",GBR
"BENNETT, Charles",GBR
"SCHULTZ, Ernst",DEN
"LONG, Maxwell W.Maxey",USA
"HOLLAND, William",USA
"ORTON, George",CAN
"TEWKSBURY, Walter B. John",USA
"TAUZIN, Henri",FRA
"BENNETT, Charles",ZZX
"RIMMER, John",ZZX
"ROBINSON, Sidney",ZZX
"ROWLEY, Stanley",ZZX
"TYSOE, Alfred",ZZX
"CASTANET, AndrÇ¸",FRA
"CHAMPOUDRY, Michel",FRA
"CHASTANIE, Jacques",FRA
"DELOGE, Henri",FRA
"RAGUENEAU, Gaston",FRA
"ROWLEY, Stanley",AUS
"KRAENZLEIN, Alvin",USA
"TEWKSBURY, Walter B. John",USA
"HALL, David",USA
"TYSOE, Alfred",GBR
"CREGAN, John",USA
"SHELDON, Richard",USA
"BAUER, Rudolf",HUN
"JANDA, Frantisek",BOH
"MCCRACKEN, Josiah",USA
"FLANAGAN, John Jesus",USA
"HARE, Thomas Truxton",USA
"GÇ_NCZY, Lajos",HUN
"BAXTER, Irving",USA
"LEAHY, Patrick Joseph",GBR
"SHELDON, Lewis Pendleton",USA
"EWRY, Ray",USA
"BAXTER, Irving",USA
"LEAHY, Patrick Joseph",GBR
"KRAENZLEIN, Alvin",USA
"PRINSTEIN, Meyer",USA
"TORCHEBOEUF, Emile",FRA
"EWRY, Ray",USA
"BAXTER, Irving",USA
"FAST, Ernst",SWE
"THEATO, Michel",FRA
"CHAMPION, Emile",FRA
"ANDERSEN, Carl Albert",NOR
"BAXTER, Irving",USA
"COLKETT, Meredith Bright",USA
"GARRETT, Robert",USA
"SHELDON, Richard",USA
"MCCRACKEN, Josiah",USA
"SHELDON, Lewis Pendleton",USA
"PRINSTEIN, Meyer",USA
"CONNOLLY, James",USA
"GARRETT, Robert",USA
"EWRY, Ray",USA
"BAXTER, Irving",USA
"De AMEZOLA y ASPIZUA, JosÇ¸",ESP
"VILLOTA BAQUIOLA, Francisco",ESP
"DURQUETTY, Maurice",FRA
ETCHEGARAY,FRA
"BEACHCROFT, Charles",GBR
"BIRKETT, Arthur Ernest",GBR
"BOWERMAN, Alfred James",GBR
"BUCKLEY, George John",GBR
"BURCHELL, Francis Romulus",GBR
"CHRISTIAN, Frederick William",GBR
"CORNER, Harry Richard",GBR
"CUMING, Frederick Wlliam",GBR
"DONNE, William Stephen",GBR
"POWLESLAND, Alfred James",GBR
"SYMES, John",GBR
"TOLLER, Montagu Henry",GBR
"ANDERSON, W.",FRA
"ATTRILL, W.T.",FRA
"BRAID, J.",FRA
"BROWNING, W.",FRA
"HORNE, R.",FRA
"JORDAN, T.H.",FRA
"MCEVOY, A.",FRA
"ROBINSON, D.",FRA
"ROQUES, F.",FRA
"SCHNEIDAU, A.J.",FRA
